test_text,true_label,A_pred,char_cosine_max,jaccard_max,bucket,nearest_train_text
"Biggest BhaiDuj Offers @VISHAL 55%OFF-Soan Papdi,Dry Fruit,Mithai 25%OFF-Cadbury Gift Pack + FREE-VIP Trolley,DuffleBag + 7.5% SBI Cashback",spam,unwanted,0.4214,0.3939,novel_lt_0.9,"Biggest Diwali Offers@ VISHAL DryFruit Gift Pack(Mrp479) 60%OFF-Rs192 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC"
""" Due to escalating geopolitical tensions, particularly the intensifying conflict between Israel and Iran, the situation has further worsened. As a result, foreign investors have also reduced their ri",ham,legit,0.3647,0.2059,novel_lt_0.9,""" Over the past two months, foreign portfolio investors FPI who had been investing in the domestic market have now turned into net sellers. So far in August, they have withdrawn more than ??????1340 b"
"Recharge today your Jio no 9019695140 with Rs.349 plan (2 GB/day & Unlimited 5G Data, Unlimited Voice, 28 Days) on Amazon Pay. Existing User gets upto Rs.500 Rewards, New User gets upto Rs.45 Cashback",spam,unwanted,0.4911,0.4706,novel_lt_0.9,"Recharge today your Jio no 9019695140 with Rs.349 plan (2 GB/day & Unlimited 5G Data, Unlimited Voice, 28 Days) on Paytm. Get Rewards worth Rs.400 each time on 3 recharges, Apply Code : JIO400 T&CA. h"
Hi team who are on shift ?,ham,legit,0.8418,0.5714,novel_lt_0.9,Who are on shift now ?
Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 15th Aug 2021. TnC,spam,unwanted,0.8925,0.8333,novel_lt_0.9,Rs.250 credited as FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Valid till 25th July 2021. TnC
Pamper your sister this Rakshabandhan with gifts from shoppersstop.com Get FLAT 50% OFF + Use Code ATV25 & get Rs.250 off on Rs2500 & Rs.400 off on Rs4000 Click bit.ly/SS_RKBN to shop for her favourit,spam,unwanted,0.6873,0.5,novel_lt_0.9,"Its MY SALE MY WAY at shoppersstop.com Enjoy upto 50% OFF + Use Code ATV25 & get Rs.250 off on Rs.2500 & Rs.500 off on Rs.4000 Click bit.ly/SS_com to shop for your favourite brands in Apparel, Footwea"
Join from,ham,legit,0.3879,0.25,novel_lt_0.9,Will join soon
Yaa,ham,legit,0.0579,0.0,novel_lt_0.9,"Dear Digi Yatri, Your OTP for Digi Yatra App is 670016 Have a seamless and health-risk-free journey. Thanks, Digi Yatra Foundation wdgq610/72T"
I can't even operate skype,ham,legit,0.4013,0.3,novel_lt_0.9,So we don't have power to operate
Trading strategy for tomorrow????????,ham,legit,0.6531,0.5714,novel_lt_0.9,Trading strategy for this Friday????????
Anyways I am going.. I thought it good to learn for this project and their future support,ham,legit,0.2228,0.2609,novel_lt_0.9,"Hi all, good morning I am exiting from this group.... thanks all for support"
FREE 2GB data waiting! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR,spam,unwanted,0.7507,0.7647,novel_lt_0.9,CONGRATULATIONS! FREE 2GB data is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR
Good morning Mr Arvind Singh Check in,ham,legit,0.9123,0.7143,near_dup_ge_0.9,Good morning Mr Arvind Singh
"Due to traders preparing for a rate cut by the Federal Reserve next month, consistent U.S. inflation data eased market tension on Wall Street, leading to a slight rise in Asian stock markets on Thursd",ham,legit,0.3117,0.2149,novel_lt_0.9,""" In Wednesday's trading, the activity in options related to the Secured Overnight Financing Rate (SOFR) indicated that traders are unwinding bets on a 50 basis point rate cut. SOFR closely follows th"
Yes now it's working after resetting the password,ham,legit,0.4986,0.4444,novel_lt_0.9,It's working now
I have already replied to your private message,ham,legit,0.5786,0.2727,novel_lt_0.9,I??????ve already sent you a private message
Rebooting,ham,legit,0.626,0.1667,novel_lt_0.9,Facing issue with laptop. Rebooting it
Domestic Market Overview,ham,legit,0.5776,0.5,novel_lt_0.9,International Market Overview
??????????,ham,legit,0.9988,0.0,near_dup_ge_0.9,????????????
"Hi! The validity of your Daily Data pack has expired. Continue to browse at 4p/10Kb. To buy a Data pack, click bit.ly/ViDataRC or dial *121#",spam,unwanted,0.9815,0.96,near_dup_ge_0.9,"Hi! The validity of your Data pack has expired. Continue to browse at 4p/10Kb. To buy a Data pack, click bit.ly/ViDataRC or dial *121#"
I see it We should just hold on????????,ham,legit,0.4604,0.25,novel_lt_0.9,????????
"Enjoy unlimited Local, STD & Roaming calls on any network, daily 1GB & 100 SMS. Pack Valid for 24 daysAlso get FREE Wynk Music and Hellotunes, valid as per current pack open.wynk.in/HTLapu",spam,unwanted,0.8927,0.7714,novel_lt_0.9,"Enjoy unlimited Local, STD & Roaming calls on any network, 1GB/day data and 100 SMS. Pack valid for 28 days.Also get FREE Wynk Music and Hellotunes, valid as per current pack open.wynk.in/HTLapu"
Buy 1 Get 3 Free! We have mind-blowing deals @ Epic Fashion Sale Top brands on discount | Explore & shop now with Free Shipping http://smsd.in/bc0H1TrpB,spam,unwanted,0.2593,0.2222,novel_lt_0.9,"You've always been our favourite So here's Rs.200 MynCash + Free Shipping Shop Shirts, Tshirts & more @ Mid Year Sale http://smsd.in/bftVxrPKH"
Ok thanks for sharing Assistant,ham,legit,0.5932,0.4286,novel_lt_0.9,Got it thank you Assistant
"Biggest Diwali Offers@ VISHAL Induction Cooker(Mrp2999) 60% OFF - Rs1199 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam,unwanted,0.6496,0.6667,novel_lt_0.9,"Biggest Diwali Offers@ VISHAL MEGA MART Cooker 3L(Mrp 1149) 50% OFF-Rs575 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC"
And tell them that it's already approved by Ranganatha sir.. and also we have email approved,ham,legit,0.2068,0.1667,novel_lt_0.9,The S&P 500 index is already approaching the all time high it set last month
"It's okay too, bonds are stable, low-risk, and can offer decent returns",ham,legit,0.2522,0.1667,novel_lt_0.9,"I've never bought bonds before, as I feel their returns aren't very high"
Just now he joined,ham,legit,0.648,0.2857,novel_lt_0.9,I have joined
Hi Rithika gm; sure no issues,ham,legit,0.6595,0.4286,novel_lt_0.9,Hi Rithika
"Full Paisa Vasool Sale at SMART Point Store,B2G1 Cadbury Dairy Milk Home Pk 126g,Rs 144 OFF Surf Excel Easy wash Det Pwdr 4Kg,Click bit.ly/2we4ywn T&C",spam,unwanted,0.3433,0.3478,novel_lt_0.9,"Bestival Sales@SMART Point Store,BA1GA1 Snactac/Bikaji Gulab Jamun/ Rasgulla 1Kg,B2G1 Cadbury Dairy Milk Home Pk 126g,30%OFF Tide PWDR,Click bit.ly/2VxhKY9 TC"
Yes many times trends are very similar,ham,legit,0.2772,0.2,novel_lt_0.9,Secondary trends are short-term trends
*max,ham,legit,0.128,0.0417,novel_lt_0.9,"HI Customer, Last 2 DAYS of Max Fashion Preview SALE! Upto 50% OFF + 1500 GV FREE on shopping of 2999. Rush to your nearest Max store NOW! TnC"
""" Good afternoon, investors. The market has now closed, so let's do a brief summary.""",ham,legit,0.9938,0.9333,near_dup_ge_0.9,""" Good afternoon, investors. The market has closed, so let's do a brief summary."""
I will be joining late today by 9,ham,legit,0.6699,0.5,novel_lt_0.9,Hi team I'll be joining late today by 10
"Limited period offer! Get 30 day free Airtel Xstream Fiber with zero intallation cost , 350+ TV channels and 16+ OTT subscription at just Rs1099. Explore now u.airtel.in/unlimiteddata11",spam,unwanted,0.4989,0.3256,novel_lt_0.9,"Exclusive offer for you! 1) 30 Day free with Airtel Xstream Fiber 2) 350+ channels 3) 16+ OTTs including Netflix, Amazon Prime & Disney+ Hotstar Click u.airtel.in/unlimiteddata11"
"Thank you for being a valued STYLE UNION customer. Hope you are happy with your purchase. To view your E-Receipt, Click http://bl1.in/DRpmxpffaa STYLUN",spam,unwanted,0.1867,0.3235,novel_lt_0.9,Purchase completed Thank you for the notification
"Hello, IND vs SL T20 Rs.5000* Bonus can be credited on My 11circle Account! Prize Pool - 2,25,00,000 (2.25CR) Entry Fees - 49 Win - http://1kx.in/Chnhni",spam,unwanted,0.3061,0.3333,novel_lt_0.9,"Dear Player, Prize Pool: 2,50,00,000 (2.5cr). Rs.8850 welcome bonus. Millionaire Tournament on Junglee Rummy! Entry Fees - Win Now: http://1kx.in/9JXK6Y"
"Get up to Rs.1K assured cashback & Rs.25K free credit with OlaMoney Postpaid+. Use it across 15K+ apps, pay back in 30 days.Click:https://hello.ola.app/ompp",spam,unwanted,0.1841,0.2273,novel_lt_0.9,"Hello! Get up to 10% cashback on recharge through CRED pay using credit card, simply click https://bit.ly/myvi-app and enjoy the offer."
Then I need to check with CCIE person,ham,legit,0.3555,0.2727,novel_lt_0.9,Now you need check with others...
"Top Brands, Pure, Hygienic Milk at best prices available in SMART Point Store,Nandini Tnd Milk500ml Rs18.50,Heritage Tnd Milk500ml Rs 21,Click bit.ly/2T3zdWw TC",spam,unwanted,0.1369,0.2143,novel_lt_0.9,I will be available in mobile
"Shoppers Stop First Citizen Preview Sale starts tomorrow, 19-21 July, Upto 50% OFF : in-store, online & app. Start wish-listing your Favourite Brands to get the best offers & deals. Click bit.ly/SS_Wi",spam,unwanted,0.4359,0.3333,novel_lt_0.9,"This time it's your sale, your way! Presenting the Shoppers Stop & HomeStop Upto 50% Off Sale Get great deals & offers on your favourites in-store, shsp.in or on our app + get offers on First Citizen "
Cloudnine administrator has assigned 1 course to you. These courses need to be completed by 31-08-2021. Please click on the link to start your training. https://cloudnine.medlern.com/dashboard,spam,unwanted,0.9644,0.9333,near_dup_ge_0.9,Cloudnine administrator has assigned 1 course to you. These courses need to be completed by 18-08-2021. Please click on the link to start your training. https://cloudnine.medlern.com/dashboard
"In this situation, the government might take advantage of the opportunity to optimize its debt structure, reduce financing costs, and attract more long-term capital inflows",ham,legit,0.2245,0.1667,novel_lt_0.9,"MSCI adjusts its weights annually based on market changes, typically in May and November. Consumer goods and infrastructure are also sectors worth paying attention to, especially in the context of gov"
"Bid goodbye to recharge hassles & daily data limits! Switch to Airtel postpaid to enjoy 75 GB data/month, 22+ OTTs & more @ Rs. 499. Click https://i.airtel.in/Pre2Post",spam,unwanted,0.253,0.1951,novel_lt_0.9,No data limit worries with Airtel's new data pack! Recharge with Rs.49 data pack and get unlimited data for one day. Click i.airtel.in/PP49
Get FREE 2GB DATA on Thanks App! Claim your FREE GIFT on Airtel Thanks App.Tnc * Click here i.airtel.in/2gb_rc2,spam,unwanted,0.6055,0.4783,novel_lt_0.9,"FREE 2GB DATA on the Airtel Thanks App! Yes, claim your FREE coupon now. HURRY i.airtel.in/2GB_AI"
In hpsm,ham,legit,0.0419,0.25,novel_lt_0.9,I m new in group
So that I can't create a global impact,ham,legit,0.5921,0.2308,novel_lt_0.9,It's global impact ????
"Maximize the benefits of your Airtel Pack. Enjoy free TV shows, movies & live channels on Airtel Xstream Play. Install now : open.airtelxstream.in/FREE_CONTENT",spam,unwanted,0.6226,0.4194,novel_lt_0.9,"Exclusive for Airtel users: Access TV shows, movies, and live channels for free with Airtel Xstream Play. Download now open.airtelxstream.in/freexstream3"
"Riya has not replied to me yet, I left a message since last night",ham,legit,0.2609,0.2222,novel_lt_0.9,Already left a message to Ms. Rama????????
"Indian equity benchmark indices firmed up in intra-day deals on Wednesday backed by buying interest in ITC and technology shares. Metal shares, however, were under pressure after the an adverse Suprem",ham,legit,0.2024,0.1067,novel_lt_0.9,"Shares of Paras Defence and Space Technologies were locked in 5 per cent upper circuit at Rs 1,207.40 per share on Friday, August 16, 2024. The uptick in the share price came after the company announc"
Thanks; rebooting my laptop fixed,ham,legit,0.4996,0.3333,novel_lt_0.9,Facing issue with laptop. Rebooting it
90% ALERT: data is consumed. Get 5GB data topup at just Rs98 valid till your current pack. Click i.airtel.in/Get-Data,spam,unwanted,0.9665,1.0,near_dup_ge_0.9,50% ALERT: data is consumed. Get 5GB data topup at just Rs98 valid till your current pack. Click i.airtel.in/Get-Data
"I find it strange as well. Earlier, it was said that borrowing costs were decreasing, so under such circumstances, the stocks shouldn't be declining",ham,legit,0.2219,0.1515,novel_lt_0.9,"I don't think that should be the case, if it does increase business, that would be a good thing indeed, and on the contrary decrease, wouldn't that be less profitable."
"Congratulations! Your recent recharge of Rs 98 offers you 30 DAYS access to Wynk Premium at no extra cost. Download Wynk Music App & enjoy ad free music, unlimited HelloTunes, unlimited downloads & mo",spam,unwanted,0.5412,0.3065,novel_lt_0.9,"Athmave Poo is now on Wynk Music App. Don't miss out on Ad-free HD music with over 15 Mn songs, unlimited hellotunes & downloads with your Wynk Premium Subscription. Download today https://open.wynk.i"
I will join in 20min,ham,legit,0.3829,0.375,novel_lt_0.9,Will join soon
Thanks Shilpa for the update,ham,legit,0.4519,0.6667,novel_lt_0.9,Thanks Imtiyaz for the update
SMSPHARMA is now up 3% which is already a good gain,ham,legit,0.392,0.2143,novel_lt_0.9,Mr Arvind Singh SMSPHARMA is up 2.5% right now Should it be sold?
???????????,ham,legit,0.9998,0.0,near_dup_ge_0.9,????????????
Ultimately it all comes down to the Fed's stance,ham,legit,0.2362,0.2667,novel_lt_0.9,The Fed's traditional skill is waiting for the data
"We are holding a handover ceremony with the XAI International Securities Trading Competition. The competition is approaching, please prepare all contestants and team members.",ham,legit,0.3238,0.1667,novel_lt_0.9,"Good evening, students in Bajaj Finserv's official group. I am Vijay bajaj, Bajaj Finserv's chief risk assessment expert. ????????Welcome new members to the group. There is less than a month left befo"
Both the S&P 500 and NASDAQ have recorded four consecutive weeks of decline,ham,legit,0.2511,0.16,novel_lt_0.9,Both
Is there any small hole on touchpad?,ham,legit,0.2336,0.1875,novel_lt_0.9,Get in touch with IT team
Transaction completed. I??????m waiting for your next trading advice,ham,legit,0.3149,0.2143,novel_lt_0.9,Waiting
""" If the CPI report meets expectations, it will indicate that inflation remains on a downward trend. However, the slowdown in housing costs that began in June is expected to continue. This category ac",ham,legit,0.2997,0.2018,novel_lt_0.9,"British consumer price inflation rose for the first time this year in July, but at a slower rate than expected as prices for services, which are closely watched by the Bank of England, rose at a slowe"
K,ham,legit,0.0,0.0,novel_lt_0.9,""" Tonight's Review Ends Here Since the professor is still in a meeting, there will be no course sharing tonight. However, the professor will share technical knowledge with everyone tomorrow evening at"
"Biggest Diwali Offers@ VISHAL Mixer Grinder 2Jar(Mrp 1599) 30%OFF- Rs 1119 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",spam,unwanted,0.5875,0.5806,novel_lt_0.9,"Biggest Diwali Offers@ VISHAL MEGA MART Cooker 3L(Mrp 1149) 50% OFF-Rs575 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC"
"2. A death cross pattern occurs when the DIF line crosses below the DEA line from above, which may signal a bearish trend",ham,legit,0.2363,0.122,novel_lt_0.9,Cross Identification
"Night also we tried to create hpsm ticket , now I remembered the option ??",ham,legit,0.3365,0.1818,novel_lt_0.9,I will create a ticket for you Jerold
????????I just sold as well I think in the current market conditions making a profit is already a good outcome,ham,legit,0.2996,0.2,novel_lt_0.9,Congratulations on making a profit
Guys dont worry about assessment enjoy your weekend ????,ham,legit,0.3676,0.2,novel_lt_0.9,What about the assesment
Don't miss out on unlimited entertainment with unlimited Wi-Fi! Get up to 1 Gbps speeds & 15+ OTTs with Airtel Xstream Fiber. Plans starting at just Rs 699! Book today & get a FREE router. i.airtel.in,spam,unwanted,0.785,0.6585,novel_lt_0.9,"Don't miss out on unlimited entertainment with unlimited Wi-Fi! Get up to 1 Gbps speeds with Airtel Xstream Fiber to work, binge, play all at once. Plans starting at just Rs 499. i.airtel.in/Exclusive"
It will take some time,ham,legit,0.8441,0.6667,novel_lt_0.9,It may take some time
Is it working ?,ham,legit,0.7465,0.4,novel_lt_0.9,It's working now
"Wednesday Bonus at SMART Point Store,Bangalore! Potato Rs 23/Kg,Sweet Corn Rs 12/Pc,Papaya Rs 23/Kg,valid on 6 Oct,Click bit.ly/35YAofl T&C",spam,unwanted,0.4369,0.4412,novel_lt_0.9,"Wednesday Bonus@JioMart,Bangalore!Onion Rs 27/Kg,Sweet Corn Rs 14/Pc,Papaya Rs 27/Kg,Also at SMART &SMART Point store bit.ly/3iLAjlj 28Jul,TC"
This Ugadi flaunt your Ethnic Best with Shoppers Stop Click bit.ly/IGEWSTL for looks curated by influencer Nivrity Das & shop the look at shsp.in #ShareMyNewYear with #SSExclusives,spam,unwanted,0.2209,0.2182,novel_lt_0.9,Curate a Mehendi ceremony look with actress Nia Sharma. Watch now bit.ly/PS_Ind Click bit.ly/SSPS_AB to book a Personal Shopper appointment at Shoppers Stop
Get it fixed asap,ham,legit,0.6695,0.3333,novel_lt_0.9,I got this issue today only and will try to get it fixed asap
News,ham,legit,0.3623,0.0714,novel_lt_0.9,Covid cases & lockdown updates - Stay safe & get LIVE news with Manorama news on Vi Movies & TV app! Click bit.ly/Vi-moviess
So you mean to say chandler tunnels should not be up ?,ham,legit,0.2443,0.2143,novel_lt_0.9,We are moving all AMS sites tunnels towards CRL from CHA in next 10 min
???????? ????????,ham,legit,1.0,1.0,near_dup_ge_0.9,????????
"Yes, and ticket got resolved.",ham,legit,0.2358,0.2,novel_lt_0.9,Did you raise ticket with IT team
"If it weren't for the XAI International Securities Trading Competition, I don't think we would be here. I have made all preparations to win this competition.",ham,legit,0.3341,0.2143,novel_lt_0.9,All the stock recommendations are small strategies before the competition starts.
Good morning everyone I'm check in,ham,legit,0.9111,0.7143,near_dup_ge_0.9,Good morning everyone Check in
Good luck dialing this no though ??,ham,legit,0.3666,0.1667,novel_lt_0.9,Good ??
"But it will be week off right, we need to come up with some process for this",ham,legit,0.2626,0.1667,novel_lt_0.9,"You are right, we lack understanding of the market"
In fact the impact on the overall market isn't significant,ham,legit,0.497,0.375,novel_lt_0.9,The Hindenburg report hasn't had a significant impact on the broader market
Good evening sir I've come to check in,ham,legit,0.7308,0.4444,novel_lt_0.9,Good evening Check in
"Haha, anyway, the professor will compensate, so I'm not afraid. If we can make a profit, that's the best outcome. At least we won't make the professor spend money??????we'll earn from the market",ham,legit,0.3612,0.186,novel_lt_0.9,Don't worry the professor will
"Anjaam Pathiraa, Uriyadi, Bigil, Kakshi: Amminippilla, Manorama News, LaLiga football matches on MTV & more on Vi Movies & TV app!Click bit.ly/Vi-mv34",spam,unwanted,0.6996,0.6071,novel_lt_0.9,"Anjaam Pathiraa, Bigil, Oru Adaar Love, Solo, Kakshi: Amminippilla, Manorama News! Get unlimited movies & more on Vi Movies & TV app! Click bit.ly/Vi-mv34"
However this doesn't affect Reliance Industries' ranking,ham,legit,0.2482,0.1429,novel_lt_0.9,But today us cpi will also affect chances are their the market may affect by it
"Please believe me, all members, the Indian stock market is one of the best investment markets in the world????????",ham,legit,0.32,0.28,novel_lt_0.9,"We can see that the percentage of Mega Winners is the highest in the Indian stock market, which means that if you are an investor and invest in the Indian stock market, then you have the highest proba"
Working with local service team,ham,legit,0.4219,0.2222,novel_lt_0.9,It's working now
"Celebrate this Diwali with 75% off on salary withdrawals upto ?3,000. Hurry!! The offer expires on 13th Nov. Sign up now weurl.co/uihHtX Team Refyne",spam,unwanted,0.8656,0.9259,novel_lt_0.9,"Celebrate this Diwali with 75% off on salary withdrawals upto ?3,000. Hurry!! The offer expires on 13th Nov. Sign up now weurl.co/gi4nEW Team Refyne"
The labor market's situation is not much better than inflation,ham,legit,0.4964,0.2667,novel_lt_0.9,Hoping for a better situation
