text,true_label,W_pred,W_conf,W_p_unwanted,A_pred,A_conf,A_p_unwanted,p_unwanted_gap,category,conf_margin
"Every Click is rewarding when u shop at Pantaloons! Click tlux.in/mkFkj & Get EXTRA Rs750 OFF on your shopping, Use Code: PT750 TC. on shopping of Rs3499",unwanted,legit,0.5578,0.4422,unwanted,0.998,0.998,0.5558,miss_catch_correct,0.4402
"Weekend Deals @SMART Point store,Rs 100 OFF Tide Detergent Powder 4Kg,Rs 35 OFF Dabur Chyawanprash 1Kg,Go Cheese Slice 476g Rs 247,Click bit.ly/398cIoM T&C",unwanted,legit,0.5621,0.4379,unwanted,0.9979,0.9979,0.56,miss_catch_correct,0.4358
"Congratulations!On your Digital Recharge,additional 5GB Data credited for 28 Days.Enjoy FREE Movies, Shows, News click bit.ly/35crrjt",unwanted,legit,0.5691,0.4309,unwanted,0.9995,0.9995,0.5686,miss_catch_correct,0.4304
"Good News! Get 1year Disney+ Hotstar VIP subscription on your Vi prepaid with RC 601. Also get 3GB data/day + UL calls, Val 56 days. Click bit.ly/ViHotstar1",unwanted,legit,0.5626,0.4374,unwanted,0.992,0.992,0.5546,miss_catch_correct,0.4294
"Hi, congrats! Your Home Loan offer has arrived: EMIs from just Rs. 649/lakh | Up to Rs. 30L | Apply now | TnC apply bnkbzr.co/PINGxxkNLf",unwanted,legit,0.5517,0.4483,unwanted,0.9649,0.9649,0.5166,miss_catch_correct,0.4132
"GREAT VALUE OFFER! Get 5GB data, AD FREE HD Music along with over 20 Mn songs, unlimited hellotunes and downloads only with Rs98 Airtel pack. Valid as per current pack validity. Recharge today i.airtel.in/Wynk98New",unwanted,legit,0.5767,0.4233,unwanted,0.9891,0.9891,0.5657,miss_catch_correct,0.4124
"ENTERTAINMENT ALERT! Enjoy LIVE TV,movies,sports & lot more.Get access to SonyLIV,ErosNow & 11+ OTTs on Airtel Xstream App. Click open.airtelxstream.in/14_OTT",unwanted,legit,0.5915,0.4085,unwanted,0.9907,0.9907,0.5822,miss_catch_correct,0.3992
"Weekend Deals @SMART Point Store,B2G1 Parle Krackjack/Monaco 800g,Rs 30 OFF Pears Pure&Gentle Soap 125gX3,Date Crown Fard 500g Rs 185,Click bit.ly/2Pt4boF T&C",unwanted,legit,0.6039,0.3961,unwanted,0.9979,0.9979,0.6018,miss_catch_correct,0.394
?????? ????????? T20 ?????????? ??????????? ???? ????????? ????? ????????! 501 ??????? ?? ????????????? ?????? ??????? ?????? ???? 1 ???? ?????? ????????????? ????? ?????? ???? ????? +????????? 3GB ?????? +16GB ?????? 28 ???????????? Click ,unwanted,legit,0.6086,0.3914,unwanted,0.9986,0.9986,0.6072,miss_catch_correct,0.39
This diwali let's do big savings. Get 75% off on salary withdrawals upto ?3000. Offer valid 25th Oct-13th Nov. Sign up now weurl.co/git5r1 Team Refyne,unwanted,legit,0.5832,0.4168,unwanted,0.9677,0.9677,0.5509,miss_catch_correct,0.3845
"Data Alert! 69.29MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",unwanted,legit,0.6104,0.3896,unwanted,0.9945,0.9945,0.6049,miss_catch_correct,0.3841
"Welcome to the world of Smartphones! To enjoy best quality Voice & high-speed Data on Vi GIGAnet, switch ON Data & VoLTE. Click bit.ly/ViApp21 for Data offers",unwanted,legit,0.6215,0.3785,unwanted,0.9971,0.9971,0.6186,miss_catch_correct,0.3756
"Start Ganesh Chaturthi with SMART Point Store,B1G1 MangalDeep Agarbatti 120 Zip Lck 4IN1,Good Life Mixed Dry Fruits 500g Rs 279,Click bit.ly/39a9268 TC",unwanted,legit,0.6239,0.3761,unwanted,0.9974,0.9974,0.6213,miss_catch_correct,0.3735
"Biggest Diwali Offers@ VISHAL Gas Stove 2 Burner(Mrp3599) 54% OFF - Rs1649 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",unwanted,legit,0.6095,0.3905,unwanted,0.983,0.983,0.5925,miss_catch_correct,0.3735
"Celebrate this Diwali with 75% off on salary withdrawals upto ?3,000. Hurry!! The offer expires on 13th Nov. Sign up now weurl.co/uihHtX Team Refyne",unwanted,legit,0.6,0.4,unwanted,0.969,0.969,0.569,miss_catch_correct,0.369
Did you know? Now you can order Airtel SIM online and get it delivered for free from the comfort of your home with no paperwork. Click i.airtel.in/awj,unwanted,legit,0.6124,0.3876,unwanted,0.9811,0.9811,0.5935,miss_catch_correct,0.3687
"Data Alert! 7.53MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",unwanted,legit,0.6324,0.3676,unwanted,0.9943,0.9943,0.6267,miss_catch_correct,0.3619
"Data Alert! 7.23MB left on Data pack, post which std. charges apply or lower speeds as per plan. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",unwanted,legit,0.6324,0.3676,unwanted,0.9943,0.9943,0.6267,miss_catch_correct,0.3619
"The Beekeeper is LIVE on Airtel Xstream Play Enjoy access to 20+ OTTs, including LionsgatePlay, Sony LIV, Eros Now, Hoichoi, Chaupal and more. Watch now at No Extra Cost - open.airtelxstream.in/Sunnxt_Free_30days",unwanted,legit,0.6202,0.3798,unwanted,0.9757,0.9757,0.5959,miss_catch_correct,0.3555
90% ALERT: data is consumed. Get 5GB data topup at just Rs98 valid till your current pack. Click i.airtel.in/Get-Data,unwanted,legit,0.64,0.36,unwanted,0.9928,0.9928,0.6328,miss_catch_correct,0.3528
REMINDER: You're eligible for FREE router with Airtel Xstream Fiber. Also enjou up to 1 Gbps speed on all your devices. Plans starting at just Rs. 499. Visit i.airtel.in/Exclusiveoffer,unwanted,legit,0.6463,0.3537,unwanted,0.9957,0.9957,0.642,miss_catch_correct,0.3494
"Vouchers worth Rs25000 are now yours! To enter the contest, set your Hellotune & stand a chance to be amongst the 3 lucky winners. To know more, click open.wynk.in/rakshabandhan",unwanted,legit,0.5056,0.4944,unwanted,0.8415,0.8415,0.3471,miss_catch_correct,0.3359
"Biggest Diwali Offers@ VISHAL Induction Cooker(Mrp2999) 60% OFF - Rs1199 ONLY TODAY! + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",unwanted,legit,0.6501,0.3499,unwanted,0.9821,0.9821,0.6322,miss_catch_correct,0.332
"Alert!50%: data is consumed. Get 4GB + FREE 2GB (on Airtel Thanks App) at Rs65, valid till current pack. Recharge now i.airtel.in/65-Pack",unwanted,legit,0.6658,0.3342,unwanted,0.9967,0.9967,0.6625,miss_catch_correct,0.3309
LAST DAY Rs.250 credited as unconditional FREE UNLIMITED Cash Points in your account to shop at UNLIMITED Fashion Store. Hurry ! TnC : bit.ly/3vdC7ss,unwanted,legit,0.6651,0.3349,unwanted,0.9957,0.9957,0.6609,miss_catch_correct,0.3306
"FREE Rewards waiting! Get SunNxt movies,ZEE5, Voot Select shows, LaLiga football matches on MTV, 450+ TV channels & more on Vi Movies & TV!Click bit.ly/Vi-mv34",unwanted,legit,0.6662,0.3338,unwanted,0.996,0.996,0.6622,miss_catch_correct,0.3298
OMG! The Biggest offer just got Bigger ONLY for YOU @Max Fashion FLAT 50% OFF on ENTIRE SALE merchandise + EXTRA 10% OFF Use Code: XHQ4GD5 ONLY till Sunday TnC,unwanted,legit,0.6382,0.3618,unwanted,0.9673,0.9673,0.6056,miss_catch_correct,0.3291
"Biggest Diwali Offers@ VISHAL Mixer Grinder 2Jar(Mrp 1599) 30%OFF- Rs 1119 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",unwanted,legit,0.6605,0.3395,unwanted,0.9884,0.9884,0.6489,miss_catch_correct,0.3279
"Bharatha Circus is LIVE on Airtel Xstream Play Enjoy access to 20+ OTTs, including Sony LIV, Eros Now, LionsgatePlay, Hoichoi, Chaupal and more. Watch now at No Extra Cost - open.airtelxstream.in/Sonyliv_30Days_Free",unwanted,legit,0.653,0.347,unwanted,0.9778,0.9778,0.6308,miss_catch_correct,0.3248
"Top Brands, Pure, Hygienic Milk at best prices available in SMART Point Store,Nandini Tnd Milk500ml Rs18.50,Heritage Tnd Milk500ml Rs 21,Click bit.ly/2T3zdWw TC",unwanted,legit,0.6811,0.3189,unwanted,0.999,0.999,0.6801,miss_catch_correct,0.3179
"Claim upto Rs.250 Cashback! You are eligible for a cashback on first 5 UPI transactions done via Airtel Thanks App, Tnc apply. Click i.airtel.in/PayAndEarn",unwanted,legit,0.6931,0.3069,unwanted,0.9986,0.9986,0.6916,miss_catch_correct,0.3055
"Dear Customer, R&B-Dubai's Favourite Fashion Brand BLACK FRIDAY Sale is here! Avail FLAT 30% Off ON EVERYTHING from Nov 22-26. Click bit.ly/49lpShV. T&C.",unwanted,legit,0.6941,0.3059,unwanted,0.9983,0.9983,0.6924,miss_catch_correct,0.3042
"COUPON ALERT! Now get assured Rs100 coupon on your next recharge. Invite your friends to Airtel today & get rewarded, TnC. Click i.airtel.in/prepaid-referral",unwanted,legit,0.6948,0.3052,unwanted,0.9904,0.9904,0.6851,miss_catch_correct,0.2956
"Wednesday Bonus at SMART Point Store,Bangalore! Potato Rs 23/Kg,Sweet Corn Rs 12/Pc,Papaya Rs 23/Kg,valid on 6 Oct,Click bit.ly/35YAofl T&C",unwanted,legit,0.7057,0.2943,unwanted,0.9986,0.9986,0.7042,miss_catch_correct,0.2929
Don't lose out on first 30 days FREE of any new Airtel service! Just upgrade to Airtel Black & get OTT + TV Channels + Superfast WiFi. i.airtel.in/blackPreDSL,unwanted,legit,0.6852,0.3148,unwanted,0.9748,0.9748,0.66,miss_catch_correct,0.2896
"BUY1 GETT1 FREE with Lenskart Gold membership! Explore latest collection of Eyeglasses in Italian Acetates, Sleek Metals & pastel hues.TnC Visit lskt.me/je",unwanted,legit,0.6905,0.3095,unwanted,0.9726,0.9726,0.6631,miss_catch_correct,0.2821
This Ugadi flaunt your Ethnic Best with Shoppers Stop Click bit.ly/IGEWSTL for looks curated by influencer Nivrity Das & shop the look at shsp.in #ShareMyNewYear with #SSExclusives,unwanted,legit,0.7135,0.2865,unwanted,0.9955,0.9955,0.709,miss_catch_correct,0.282
"Don't miss out on FREE rewards on your next recharge. Download Airtel Thanks App to avail amazing rewards. To download, click i.airtel.in/Download??Thanks",unwanted,legit,0.717,0.283,unwanted,0.998,0.998,0.715,miss_catch_correct,0.281
Unlimited 5G data + 17 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/prepaid58,unwanted,legit,0.7213,0.2787,unwanted,0.9927,0.9927,0.714,miss_catch_correct,0.2714
"Full Paisa Vasool Sale at SMART Point Store,B2G1 Cadbury Dairy Milk Home Pk 126g,Rs 144 OFF Surf Excel Easy wash Det Pwdr 4Kg,Click bit.ly/2we4ywn T&C",unwanted,legit,0.723,0.277,unwanted,0.989,0.989,0.7119,miss_catch_correct,0.266
"Wednesday Bonus at SMART Point Store,Bangalore! Onion Rs 36/Kg,Cucumber Rs 20/Kg,Sapota Rs 39/Kg,valid on 15 Dec,Click bit.ly/3II77I3 T&C",unwanted,legit,0.7365,0.2635,unwanted,0.9988,0.9988,0.7352,miss_catch_correct,0.2623
"Missing out on uninterrupted music & trendiest songs? Grab Wynk Premium at just Rs49 and enjoy unlimited ad-free music, song downloads & hellotunes. Upgrade Now. Click here open.wynk.in/Getnow8",unwanted,legit,0.7235,0.2765,unwanted,0.9857,0.9857,0.7092,miss_catch_correct,0.2622
Lenskart Online Mega Sale: Buy1Get1 FREE + Upto 40% Off on Eye & Sunglasses! Fresh Stocks Added.TnC Shop lskt.me/MegaSale,unwanted,legit,0.6815,0.3185,unwanted,0.9368,0.9368,0.6183,miss_catch_correct,0.2553
THE BIG BULL starring Abhishek Bachchan dekhiye Disney+ Hotstar VIP par. Vi ke naye 401 recharge pe paiye 1yr Disney+ Hotstar VIP & 100GB data (3GB/day +16GB) + Unlimited Calls; 28days. Click bit.ly/ViHotstar1,unwanted,legit,0.7248,0.2752,unwanted,0.9778,0.9778,0.7026,miss_catch_correct,0.253
"Hi! The validity of your Daily Data pack has expired. Continue to browse at 4p/10Kb. To buy a Data pack, click bit.ly/ViDataRC or dial *121#",unwanted,legit,0.7425,0.2575,unwanted,0.9875,0.9875,0.7299,miss_catch_correct,0.245
Lockdown in Kerala from May 8th - Get all LIVE news from the safety of your home with Manorama News on Vi Movies & TV app. Click bit.ly/Vi-newsm2,unwanted,legit,0.7557,0.2443,unwanted,0.9919,0.9919,0.7476,miss_catch_correct,0.2362
"Biggest Diwali Offers@ VISHAL Vegetable Chopper(Mrp599) 70% OFF-Rs179 ONLY TODAY + FREE-VIP Trolley,Duffle Bag + 7.5% SBI Cashback TnC",unwanted,legit,0.7414,0.2586,unwanted,0.9759,0.9759,0.7173,miss_catch_correct,0.2345
You deserve superfast unlimited?5G!?Upgrade to a?5G?handset & be eligible on recharging with Rs. 239 or above. Click i.airtel.in/5GAWUL,unwanted,legit,0.7524,0.2476,unwanted,0.984,0.984,0.7364,miss_catch_correct,0.2316
"Maximize the benefits of your Airtel Pack. Enjoy free TV shows, movies & live channels on Airtel Xstream Play. Install now : open.airtelxstream.in/FREE_CONTENT",unwanted,legit,0.7554,0.2446,unwanted,0.9855,0.9855,0.7409,miss_catch_correct,0.2301
Unlimited 5G data + 22 OTTs = Airtel Prepaid SIM! Order your SIM & enjoy home delivery at no extra cost. Click i.airtel.in/getprepaid7 T&C Apply.,unwanted,legit,0.7674,0.2326,unwanted,0.9951,0.9951,0.7625,miss_catch_correct,0.2277
Don't miss out on FREE SIM delivery of Airtel Prepaid! Now activate from the comfort of your home. Order today i.airtel.in/awj,unwanted,legit,0.7444,0.2556,unwanted,0.9616,0.9616,0.706,miss_catch_correct,0.2172
"Your A/c can be credited with Rs.3,99,999* Instant transfer..! Secure and hassle-free Loan. Apply now: a0n.in/s/jBq0k3F8ud T&C*",unwanted,legit,0.582,0.418,unwanted,0.7877,0.7877,0.3697,miss_catch_correct,0.2057
"Tareekh pe tareekh ab aur nahi! Na slots na tokens, get groceries in 19 min with Dunzo Daily! Get up to 50% OFF & FREE delivery. dunzo.onelink.me/jWqC/Homepage",unwanted,legit,0.7196,0.2804,unwanted,0.9228,0.9228,0.6424,miss_catch_correct,0.2032
"Congratulations, Amount of Rs.44,OOO/- is credited t0 your wallet Acc XX7O 0n 27 Aug. Instantly Withdraw N0w OI1.in/2sk0ko!8cpr814",unwanted,legit,0.6998,0.3002,unwanted,0.8982,0.8982,0.598,miss_catch_correct,0.1984
Don't let security concerns ruin your travel plans! Get Airtel Xsafe- Wi-Fi enabled surveillance solution that sends real time alerts. Order now and get FREE installation i.airtel.in/PreEye,unwanted,legit,0.6955,0.3045,unwanted,0.8906,0.8906,0.5861,miss_catch_correct,0.1951
"For Internet Safety, RAHO DO KADAM AAGEY. Never click unknown link or share your Bank details. To know more, click here i.airtel.in/e/SafetyFirst . Issued in public interest by Google & Airtel.",unwanted,legit,0.7933,0.2067,unwanted,0.9872,0.9872,0.7805,miss_catch_correct,0.1939
CONGRATULATIONS! FREE 2GB is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR,unwanted,legit,0.7885,0.2115,unwanted,0.9814,0.9814,0.7699,miss_catch_correct,0.1929
CONGRATULATIONS! FREE 2GB data coupon is yours! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR,unwanted,legit,0.7892,0.2108,unwanted,0.9819,0.9819,0.7711,miss_catch_correct,0.1927
Recharge & Get 2GB FREE on Airtel Thanks App! Enjoy FREE 2GB data when you recharge with selected Prepaid plans. T&C. Download Thanks App now i.airtel.in/free_2GBdata,unwanted,legit,0.8036,0.1964,unwanted,0.996,0.996,0.7996,miss_catch_correct,0.1924
"You are missing it! Claim your Vi Movies & TV Classic membership & get Pattabhiraman, Oru Adaar Love, Ligue1 football matches on Vh1 &more!Click bit.ly/Vi-mv34",unwanted,legit,0.8012,0.1988,unwanted,0.9906,0.9906,0.7918,miss_catch_correct,0.1894
"Rs.51 Welcome Bonus CREDITED! Sign up for Airtel wallet now and enjoy easy,secure payments. Join today i.airtel.in/get_Rs51",unwanted,legit,0.7582,0.2418,unwanted,0.9378,0.9378,0.6959,miss_catch_correct,0.1796
FREE 1GB Data Credited! Claim your DATA coupon on Airtel Thanks App. i.airtel.in/FreeData1GB,unwanted,legit,0.8143,0.1857,unwanted,0.9918,0.9918,0.806,miss_catch_correct,0.1775
FREE 2GB data waiting! Claim on Airtel Thanks App Now. Hurry i.airtel.in/2GB_FR,unwanted,legit,0.8093,0.1907,unwanted,0.9856,0.9856,0.7948,miss_catch_correct,0.1763
"3 days left for 8089XXX424 expiry! Get 1.5GB/day, UL calls,28 days for Rs239 i.airtel.in/Best-offer",unwanted,legit,0.7321,0.2679,unwanted,0.905,0.905,0.6372,miss_catch_correct,0.1729
India vs NZ Test Series Finals. Watch LIVE with 1yr Disney+ Hotstar VIP on 401 recharge. Also get 100GB Data+Unlimited Calls for 28days. Click bit.ly/ViHotstar1,unwanted,legit,0.8233,0.1767,unwanted,0.9903,0.9903,0.8136,miss_catch_correct,0.167
"Buy 2 & Get 1 FREE On EVERYTHING. Extra 10% discount, if Vaccinated bit.ly/2Um09nj @ UNLIMITED FASHION STORES. Watch collection : bit.ly/36MqbmD TnC",unwanted,legit,0.8462,0.1538,unwanted,0.9954,0.9954,0.8416,miss_catch_correct,0.1492
"Upto 50% OFF at Pantaloons!! Don't Miss Out Our Online BEST DEALS are now live, click tltx.in/rx6on to start shopping. TC",unwanted,legit,0.8347,0.1653,unwanted,0.9748,0.9748,0.8095,miss_catch_correct,0.1401
