dataset,model,text,is_false_positive,p_unwanted,msg_type,digit_count,count_currency,message_length,urgency_count,count_links,has_url,uppercase_ratio
india,W,Hi team who are on shift ?,False,0.0223,other,0.0,0.0,26.0,0.0,0.0,0.0,0.053
india,W,Join from,False,0.1443,other,0.0,0.0,9.0,0.0,0.0,0.0,0.125
india,W,Yaa,False,0.0223,other,0.0,0.0,3.0,0.0,0.0,0.0,0.333
india,W,I can't even operate skype,False,0.0262,other,0.0,0.0,26.0,0.0,0.0,0.0,0.048
india,W,Trading strategy for tomorrow????????,False,0.0575,other,0.0,0.0,37.0,0.0,0.0,0.0,0.167
india,W,Anyways I am going.. I thought it good to learn for this project and their future support,False,0.0309,other,0.0,0.0,89.0,0.0,0.0,0.0,0.042
india,W,Good morning Mr Arvind Singh Check in,False,0.0106,other,0.0,0.0,37.0,0.0,0.0,0.0,0.161
india,W,"Due to traders preparing for a rate cut by the Federal Reserve next month, consistent U.S. inflation data eased market tension on Wall Street, leading to a slight rise in Asian stock markets on Thursday morning. The Japa",True,0.8492,bank/transactional,14.0,0.0,545.0,0.0,0.0,0.0,0.045
india,W,Yes now it's working after resetting the password,False,0.0209,other,0.0,0.0,49.0,0.0,0.0,0.0,0.024
india,W,I have already replied to your private message,False,0.2076,other,0.0,0.0,46.0,0.0,0.0,0.0,0.026
india,W,Rebooting,False,0.0176,other,0.0,0.0,9.0,0.0,0.0,0.0,0.111
india,W,Domestic Market Overview,False,0.0201,other,0.0,0.0,24.0,0.0,0.0,0.0,0.136
india,W,??????????,False,0.0155,other,0.0,0.0,10.0,0.0,0.0,0.0,0.0
india,W,I see it We should just hold on????????,False,0.0091,other,0.0,0.0,39.0,0.0,0.0,0.0,0.214
india,W,Ok thanks for sharing Assistant,False,0.0197,other,0.0,0.0,31.0,0.0,0.0,0.0,0.074
india,W,And tell them that it's already approved by Ranganatha sir.. and also we have email approved,False,0.0204,other,0.0,0.0,92.0,0.0,0.0,0.0,0.027
india,W,"It's okay too, bonds are stable, low-risk, and can offer decent returns",False,0.0252,other,0.0,0.0,71.0,0.0,0.0,0.0,0.018
india,W,Just now he joined,False,0.0147,other,0.0,0.0,18.0,0.0,0.0,0.0,0.067
india,W,Hi Rithika gm; sure no issues,False,0.0115,other,0.0,0.0,29.0,0.0,0.0,0.0,0.087
india,W,Yes many times trends are very similar,False,0.0097,other,0.0,0.0,38.0,0.0,0.0,0.0,0.031
india,W,*max,False,0.0145,other,0.0,0.0,4.0,0.0,0.0,0.0,0.0
india,W,""" Good afternoon, investors. The market has now closed, so let's do a brief summary.""",False,0.0175,other,0.0,0.0,85.0,0.0,0.0,0.0,0.031
india,W,I will be joining late today by 9,False,0.0742,other,1.0,0.0,33.0,0.0,0.0,0.0,0.04
india,W,Then I need to check with CCIE person,False,0.0177,other,0.0,0.0,37.0,0.0,0.0,0.0,0.2
india,W,"In this situation, the government might take advantage of the opportunity to optimize its debt structure, reduce financing costs, and attract more long-term capital inflows",False,0.0929,other,0.0,0.0,172.0,0.0,0.0,0.0,0.007
india,W,In hpsm,False,0.0074,other,0.0,0.0,7.0,0.0,0.0,0.0,0.167
india,W,So that I can't create a global impact,False,0.0078,other,0.0,0.0,38.0,0.0,0.0,0.0,0.067
india,W,"Riya has not replied to me yet, I left a message since last night",False,0.0324,other,0.0,0.0,65.0,0.0,0.0,0.0,0.039
india,W,"Indian equity benchmark indices firmed up in intra-day deals on Wednesday backed by buying interest in ITC and technology shares. Metal shares, however, were under pressure after the an adverse Supreme Court ruling.",False,0.051,other,0.0,0.0,215.0,0.0,0.0,0.0,0.045
india,W,Thanks; rebooting my laptop fixed,False,0.0089,other,0.0,0.0,33.0,0.0,0.0,0.0,0.036
india,W,"I find it strange as well. Earlier, it was said that borrowing costs were decreasing, so under such circumstances, the stocks shouldn't be declining",False,0.0136,other,0.0,0.0,148.0,0.0,0.0,0.0,0.017
india,W,I will join in 20min,False,0.0412,other,2.0,0.0,20.0,0.0,0.0,0.0,0.071
india,W,Thanks Shilpa for the update,False,0.0376,other,0.0,0.0,28.0,0.0,0.0,0.0,0.083
india,W,SMSPHARMA is now up 3% which is already a good gain,False,0.0231,other,1.0,0.0,51.0,0.0,0.0,0.0,0.231
india,W,???????????,False,0.0156,other,0.0,0.0,11.0,0.0,0.0,0.0,0.0
india,W,Ultimately it all comes down to the Fed's stance,False,0.0363,other,0.0,0.0,48.0,0.0,0.0,0.0,0.051
india,W,"We are holding a handover ceremony with the XAI International Securities Trading Competition. The competition is approaching, please prepare all contestants and team members.",False,0.2477,other,0.0,0.0,174.0,0.0,0.0,0.0,0.061
india,W,Both the S&P 500 and NASDAQ have recorded four consecutive weeks of decline,False,0.2168,other,3.0,0.0,75.0,0.0,0.0,0.0,0.153
india,W,Is there any small hole on touchpad?,False,0.0173,other,0.0,0.0,36.0,0.0,0.0,0.0,0.034
india,W,Transaction completed. I??????m waiting for your next trading advice,False,0.2291,bank/transactional,0.0,0.0,68.0,0.0,0.0,0.0,0.089
india,W,""" If the CPI report meets expectations, it will indicate that inflation remains on a downward trend. However, the slowdown in housing costs that began in June is expected to continue. This category accounts for about one",False,0.4038,bank/transactional,0.0,0.0,534.0,0.0,0.0,0.0,0.069
india,W,K,False,0.0472,other,0.0,0.0,1.0,0.0,0.0,0.0,1.0
india,W,"2. A death cross pattern occurs when the DIF line crosses below the DEA line from above, which may signal a bearish trend",False,0.0458,other,1.0,0.0,121.0,0.0,0.0,0.0,0.073
india,W,"Night also we tried to create hpsm ticket , now I remembered the option ??",False,0.0459,other,0.0,0.0,74.0,0.0,0.0,0.0,0.035
india,W,????????I just sold as well I think in the current market conditions making a profit is already a good outcome,False,0.0312,other,0.0,0.0,110.0,0.0,0.0,0.0,0.069
india,W,Guys dont worry about assessment enjoy your weekend ????,False,0.0432,other,0.0,0.0,56.0,0.0,0.0,0.0,0.023
india,W,It will take some time,False,0.0053,other,0.0,0.0,22.0,0.0,0.0,0.0,0.056
india,W,Is it working ?,False,0.0076,other,0.0,0.0,15.0,0.0,0.0,0.0,0.091
india,W,Get it fixed asap,False,0.0479,other,0.0,0.0,17.0,0.0,0.0,0.0,0.071
india,W,News,False,0.0409,other,0.0,0.0,4.0,0.0,0.0,0.0,0.25
india,W,So you mean to say chandler tunnels should not be up ?,False,0.0129,other,0.0,0.0,54.0,0.0,0.0,0.0,0.024
india,W,???????? ????????,False,0.0501,other,0.0,0.0,17.0,0.0,0.0,0.0,1.0
india,W,"Yes, and ticket got resolved.",False,0.0098,other,0.0,0.0,29.0,0.0,0.0,0.0,0.043
india,W,"If it weren't for the XAI International Securities Trading Competition, I don't think we would be here. I have made all preparations to win this competition.",False,0.1091,other,0.0,0.0,157.0,1.0,0.0,0.0,0.079
india,W,Good morning everyone I'm check in,False,0.015,other,0.0,0.0,34.0,0.0,0.0,0.0,0.071
india,W,Good luck dialing this no though ??,False,0.0256,other,0.0,0.0,35.0,0.0,0.0,0.0,0.037
india,W,"But it will be week off right, we need to come up with some process for this",False,0.0279,other,0.0,0.0,76.0,0.0,0.0,0.0,0.017
india,W,In fact the impact on the overall market isn't significant,False,0.0316,other,0.0,0.0,58.0,0.0,0.0,0.0,0.021
india,W,Good evening sir I've come to check in,False,0.01,other,0.0,0.0,38.0,0.0,0.0,0.0,0.067
india,W,"Haha, anyway, the professor will compensate, so I'm not afraid. If we can make a profit, that's the best outcome. At least we won't make the professor spend money??????we'll earn from the market",False,0.0307,other,0.0,0.0,194.0,0.0,0.0,0.0,0.047
india,W,However this doesn't affect Reliance Industries' ranking,False,0.0238,other,0.0,0.0,56.0,0.0,0.0,0.0,0.062
india,W,"Please believe me, all members, the Indian stock market is one of the best investment markets in the world????????",False,0.0703,other,0.0,0.0,114.0,0.0,0.0,0.0,0.067
india,W,Working with local service team,False,0.147,other,0.0,0.0,31.0,0.0,0.0,0.0,0.037
india,W,The labor market's situation is not much better than inflation,False,0.016,other,0.0,0.0,62.0,0.0,0.0,0.0,0.019
india,W,market reaches 24550 level now ll so we can expect something mew popping up on this weekend to keep market range bound in aug ll technicals shows market will be in range bound for aug ll so we can consider current level ,False,0.0534,other,5.0,0.0,249.0,0.0,0.0,0.0,0.0
india,W,Having running nose and throat pain,False,0.0432,other,0.0,0.0,35.0,0.0,0.0,0.0,0.033
india,W,"Thank you, Assistant, for sharing with us even during your break. I will study your content carefully",False,0.2304,other,0.0,0.0,101.0,0.0,0.0,0.0,0.037
india,W,DATE,False,0.0619,other,0.0,0.0,4.0,0.0,0.0,0.0,1.0
india,W,"Already sold it, thanks ????????",False,0.0103,other,0.0,0.0,32.0,0.0,0.0,0.0,0.217
india,W,""" In the domestic market, after a day of significant volatility, stocks closed flat on Monday, August 12. The Sensex and Nifty ended with slight declines, while mid-cap and small-cap stocks performed strongly. The market",True,0.9123,other,23.0,0.0,628.0,0.0,0.0,0.0,0.058
india,W,Tns yoge,False,0.0184,other,0.0,0.0,8.0,0.0,0.0,0.0,0.143
india,W,Isn't housing and service sector inflation a significant component of the CPI data?,True,0.5215,recharge/plan,0.0,0.0,83.0,0.0,0.0,0.0,0.058
india,W,"The S&P 500 Index closed higher on Wednesday, marking its fifth consecutive day of gains, as the latest U.S. inflation data reassured investors betting on a Federal Reserve rate cut next month.",False,0.4099,recharge/plan,3.0,0.0,193.0,0.0,0.0,0.0,0.059
india,W,It's good and I am able to work since 15mins,False,0.0145,other,2.0,0.0,44.0,0.0,0.0,0.0,0.062
india,W,Then local admin should help you please someone help Jerold opening an it ticket,False,0.0316,other,0.0,0.0,80.0,0.0,0.0,0.0,0.03
india,W,Done kk,False,0.0176,other,0.0,0.0,7.0,0.0,0.0,0.0,0.167
india,W,Team every time in spite of multiple reminders no one bothers to join thsts gives a very negative impact about our team today training is being conducted by some other team trainer as a courtesy so don??t be late and irr,False,0.2364,bank/transactional,0.0,0.0,277.0,0.0,0.0,0.0,0.009
india,W,What is the status on your Laptop,False,0.0511,other,0.0,0.0,33.0,0.0,0.0,0.0,0.074
india,W,I have sent bro,False,0.0186,other,0.0,0.0,15.0,0.0,0.0,0.0,0.083
india,W,If the index drops tomorrow our PAYTM shares bought today should not be significantly affected,False,0.0207,other,0.0,0.0,94.0,0.0,0.0,0.0,0.075
india,W,Ready hu for learning,False,0.0283,other,0.0,0.0,21.0,0.0,0.0,0.0,0.056
india,W,""" There are several requirements that need to be met to turn pure technical analysis into money. The first and most important is to determine when a trend begins or ends. The key to making money is to catch the trend as ",False,0.0996,other,0.0,0.0,342.0,0.0,0.0,0.0,0.015
india,W,I don't really understand what you all are talking about. I just buy the stocks recommended by the professor. I'm too afraid to pick stocks on my own now,False,0.0257,other,0.0,0.0,153.0,0.0,0.0,0.0,0.025
india,W,Hi team I successfully screwed up my sim so I need to get a new one tomorrow still it might take 24 hours to activate the nth mean time I am reachable on,False,0.0167,other,2.0,0.0,153.0,0.0,0.0,0.0,0.034
india,W,"Today is Friday, the last trading day of the week. Will the professor recommend any stocks today? It??????s been three days without making any trades",False,0.0794,other,0.0,0.0,149.0,0.0,0.0,0.0,0.059
india,W,Happy new year to all,False,0.0356,other,0.0,0.0,21.0,0.0,0.0,0.0,0.059
india,W,Wishing everyone well????????,False,0.0345,other,0.0,0.0,29.0,0.0,0.0,0.0,0.217
india,W,I??????m looking forward to your performance even more after the competition starts.,False,0.1945,other,0.0,0.0,84.0,0.0,0.0,0.0,0.058
india,W,The stock market will be closed tomorrow. I hope the stock market will perform well on Friday.,False,0.0216,other,0.0,0.0,94.0,0.0,0.0,0.0,0.039
india,W,So you know it; *,False,0.0034,other,0.0,0.0,17.0,0.0,0.0,0.0,0.091
india,W,Real estate and metals sectors remain relatively strong,False,0.0517,other,0.0,0.0,55.0,0.0,0.0,0.0,0.021
india,W,At 373,False,0.0163,other,3.0,0.0,6.0,0.0,0.0,0.0,0.5
india,W,Show your touchpad,False,0.1375,other,0.0,0.0,18.0,0.0,0.0,0.0,0.062
india,W,It has already risen over 7% and reached our second target price,False,0.0304,other,1.0,0.0,64.0,0.0,0.0,0.0,0.02
india,W,"Recently, the bank stocks have been quite weak and haven't shown any signs of improvement",False,0.0658,other,0.0,0.0,89.0,0.0,0.0,0.0,0.014
india,W,Good evening Mr Arvind Singh????????,False,0.0173,other,0.0,0.0,36.0,0.0,0.0,0.0,0.286
india,W,The stock market saw significant declines today. Could it be due to foreign investors taking profits and exiting,False,0.0606,bank/transactional,0.0,0.0,112.0,0.0,0.0,0.0,0.021
india,W,This can be considered the rebound phase after holding the support level,False,0.0381,other,0.0,0.0,72.0,0.0,0.0,0.0,0.016
india,W,"Institutions are maintaining the market, while retail investors are destroying themselves",False,0.0325,other,0.0,0.0,89.0,0.0,0.0,0.0,0.013
india,W,""" In the stock market, specific stock actions are underway. The market showed a sideways consolidation before the long weekend ended. Since this week has a short weekend, there was not much volatility in the market. The ",True,0.9619,bank/transactional,24.0,0.0,743.0,0.0,0.0,0.0,0.026
india,W,"Indeed, understanding the characteristics and risks of various investment products is very important, but not all products need to be participated in",False,0.0243,other,0.0,0.0,149.0,0.0,0.0,0.0,0.008
india,W,I??????ll continue to hold not selling,False,0.0197,other,0.0,0.0,38.0,0.0,0.0,0.0,0.133
india,W,You are alone from L1 today,False,0.0637,other,1.0,0.0,27.0,0.0,0.0,0.0,0.095
india,W,Soumya are you using laptop or desktop?,False,0.0225,other,0.0,0.0,39.0,0.0,0.0,0.0,0.031
india,W,"Will connect back, having network issue",False,0.0221,other,0.0,0.0,39.0,0.0,0.0,0.0,0.03
india,W,"So please rest assured that everything is going according to my plan. Don't worry about not having the opportunity to make money. As long as we keep our capital, we will definitely seize the opportunity when it comes.",False,0.0375,recharge/plan,0.0,0.0,217.0,0.0,0.0,0.0,0.017
india,W,Subject line is ECL.. U CAN start fresh email with him for DAL,False,0.0595,other,0.0,0.0,62.0,0.0,0.0,0.0,0.229
india,W,Temperature ?? n the motherboard ribbon cable has to be dissipated,False,0.1853,other,0.0,0.0,66.0,0.0,0.0,0.0,0.019
india,W,"The above is what I want to share tonight. Regarding the candlestick I shared recently, I will organize it into a file tomorrow so that everyone can learn and use it????????",False,0.0476,other,0.0,0.0,173.0,0.0,0.0,0.0,0.066
india,W,Mr. Arvind Singh I've sent you a message to schedule an appointment Please notify me this afternoon Thank you,False,0.038,appointment/reminder,0.0,0.0,109.0,0.0,0.0,0.0,0.067
india,W,"Good evening, group members, I am Vijay bajaj??????????????????????????????????",False,0.0436,other,0.0,0.0,79.0,0.0,0.0,0.0,0.377
india,W,Call me pls.. i m not able to reach you,False,0.0166,other,0.0,0.0,39.0,0.0,0.0,0.0,0.036
india,W,The sector with the largest declines is likely still banking stocks,False,0.0362,other,0.0,0.0,67.0,0.0,0.0,0.0,0.018
india,W,The July PCE inflation data might not be that favorable,False,0.0559,recharge/plan,0.0,0.0,55.0,0.0,0.0,0.0,0.109
india,W,@334.50 Buy 150 shares,False,0.1469,other,8.0,0.0,22.0,0.0,0.0,0.0,0.111
india,W,"As you predicted, it started to rise in the afternoon.",False,0.0213,other,0.0,0.0,54.0,0.0,0.0,0.0,0.023
india,W,"Add my assistant Rama's WhatsApp, and she will notify you of the stock name and buying and selling points on time at 2",False,0.0506,other,1.0,0.0,118.0,0.0,0.0,0.0,0.043
india,W,How r u all,False,0.0067,other,0.0,0.0,11.0,0.0,0.0,0.0,0.125
india,W,Good evening,False,0.0125,other,0.0,0.0,12.0,0.0,0.0,0.0,0.091
india,W,Could be some problem with o365,False,0.0227,other,3.0,0.0,31.0,0.0,0.0,0.0,0.043
india,W,Team I sent out an email about mandatory courses to be completed please complete them on priority. Friday is last date and don??t wait till Friday as the server will be very busy those who are off shift as well please co,False,0.2223,other,0.0,0.0,245.0,0.0,0.0,0.0,0.025
india,W,E2E is up again .... No pending orders today,False,0.0129,delivery/logistics,1.0,0.0,44.0,0.0,0.0,0.0,0.097
india,W,Joined....,False,0.0181,other,0.0,0.0,10.0,0.0,0.0,0.0,0.167
india,W,On mobile ur able to connect to outlook,False,0.1075,other,0.0,0.0,39.0,0.0,0.0,0.0,0.031
india,W,Yes KK,False,0.0196,other,0.0,0.0,6.0,0.0,0.0,0.0,0.6
india,W,Is the stock price facing significant resistance and struggling to rise further?,False,0.0779,other,0.0,0.0,80.0,0.0,0.0,0.0,0.015
india,W,"Having headache, cold and sneeze",False,0.0172,other,0.0,0.0,32.0,0.0,0.0,0.0,0.037
india,W,"The current market performance is neutral, so please don't lose confidence?????",False,0.0291,other,0.0,0.0,79.0,0.0,0.0,0.0,0.062
india,W,"Hi team , today I will join at 3",False,0.0349,other,1.0,0.0,32.0,0.0,0.0,0.0,0.091
india,W,When there's no major news the trend is usually reliable,False,0.0191,other,0.0,0.0,56.0,0.0,0.0,0.0,0.022
india,W,Surprisingly it was Reliance Industries that fell the most,False,0.0083,other,0.0,0.0,58.0,0.0,0.0,0.0,0.06
india,W,Because the market is really too tense right now,False,0.013,other,0.0,0.0,48.0,0.0,0.0,0.0,0.025
india,W,I??????ve already sent you a private message Thanks for the notification,False,0.049,other,0.0,0.0,72.0,0.0,0.0,0.0,0.085
india,W,"Hi team ,",False,0.0209,other,0.0,0.0,9.0,0.0,0.0,0.0,0.167
india,W,Yes Kk,False,0.0156,other,0.0,0.0,6.0,0.0,0.0,0.0,0.4
india,W,"Some newcomers will complain, get angry or even disappointed in the group, which I understand very well. Because losses always make people lose their rationality and observation.",False,0.0268,other,0.0,0.0,178.0,0.0,0.0,0.0,0.02
india,W,@512.90 purchase 100 shares,False,0.1237,other,8.0,0.0,27.0,0.0,0.0,0.0,0.0
india,W,""" Several standard rules have been developed regarding trendlines. One of these rules is that the longer and more often price touches a plotted trendline, the more important it is when the trendline is finally broken. An",False,0.1461,other,0.0,0.0,296.0,0.0,0.0,0.0,0.013
india,W,Recent trading plans????????,False,0.0361,recharge/plan,0.0,0.0,28.0,0.0,0.0,0.0,0.227
india,W,Is there any small Light in touchpad ?,False,0.0123,other,0.0,0.0,38.0,0.0,0.0,0.0,0.067
india,W,I m.restarting my laptop,False,0.008,other,0.0,0.0,24.0,0.0,0.0,0.0,0.05
india,W,"Riya, please check my message when you are free. I left you a message. I want the stock analysis courseware taught by Sohan Sharma last night. Please send it to me. Thank you.",False,0.0746,other,0.0,0.0,175.0,1.0,0.0,0.0,0.051
india,W,Why what happened?,False,0.0113,other,0.0,0.0,18.0,0.0,0.0,0.0,0.067
india,W,Today,False,0.0196,other,0.0,0.0,5.0,0.0,0.0,0.0,0.2
india,W,Hi team please join training,False,0.0464,other,0.0,0.0,28.0,0.0,0.0,0.0,0.042
india,W,I also have a question,False,0.02,other,0.0,0.0,22.0,0.0,0.0,0.0,0.056
india,W,Anyway as soon as the data is released the market is sure to experience volatility,False,0.0588,recharge/plan,0.0,0.0,82.0,0.0,0.0,0.0,0.015
india,W,Joining in 2 mins ty,False,0.028,other,1.0,0.0,20.0,0.0,0.0,0.0,0.067
india,W,Y,False,0.0472,other,0.0,0.0,1.0,0.0,0.0,0.0,1.0
india,W,@282.75 purchase 200 shares,False,0.0372,other,8.0,0.0,27.0,0.0,0.0,0.0,0.0
india,W,Pls follow up with IT team for your Laptop..,False,0.1118,other,0.0,0.0,44.0,0.0,0.0,0.0,0.118
india,W,Team Join the ITSM training,False,0.0876,other,0.0,0.0,27.0,0.0,0.0,0.0,0.261
india,W,I think they forgot that they are in support ??,False,0.0185,other,0.0,0.0,47.0,0.0,0.0,0.0,0.028
india,W,This is called typical dull day ll lets see US data today,False,0.0327,recharge/plan,0.0,0.0,57.0,0.0,0.0,0.0,0.065
india,W,"It's nice to think about, but when big institutions operate in the stock market, they usually have their picks in advance. There's no way retail investors can get that information",False,0.02,other,0.0,0.0,179.0,0.0,0.0,0.0,0.014
india,W,Restarting the laptop,False,0.0301,other,0.0,0.0,21.0,0.0,0.0,0.0,0.053
india,W,Rithika this is acknowledged,False,0.0559,other,0.0,0.0,28.0,0.0,0.0,0.0,0.04
india,W,"To be honest, I don??????t even know the stocks I bought, and sometimes I even remember their names wrong.",False,0.0332,other,0.0,0.0,106.0,0.0,0.0,0.0,0.085
india,W,They confirmed that it you are believing as such ? ??,False,0.0192,other,0.0,0.0,53.0,0.0,0.0,0.0,0.025
india,W,""" Good evening, investors. It??????s time for our evening review. First, let me share today??????s market situation with you.""",False,0.029,other,0.0,0.0,126.0,0.0,0.0,0.0,0.095
india,W,Remately,False,0.0178,other,0.0,0.0,8.0,0.0,0.0,0.0,0.125
india,W,""" The coming week is expected to be one of consolidation, as the market may attempt to get back on track, with a focus on inflation data from both domestic and U.S. markets, while aligning with trends in global exchanges",True,0.5433,recharge/plan,0.0,0.0,479.0,0.0,0.0,0.0,0.016
india,W,Having said that please make sure u validate all things once,False,0.0083,other,0.0,0.0,60.0,0.0,0.0,0.0,0.02
india,W,"now power from morning 4am kk, heavy rain and windy",False,0.0342,other,1.0,0.0,51.0,0.0,0.0,0.0,0.0
india,W,I hope this stock hits the upper circuit again tomorrow,False,0.0132,other,0.0,0.0,55.0,0.0,0.0,0.0,0.022
india,W,Conservative Entry,False,0.024,other,0.0,0.0,18.0,0.0,0.0,0.0,0.118
india,W,"What you said is the highest wisdom. It is the market that makes us make money. When the market is bad, most people will lose money.",False,0.009,other,0.0,0.0,132.0,0.0,0.0,0.0,0.029
india,W,"For outlook, I can only open but further I can't read any mail",False,0.0187,other,0.0,0.0,62.0,0.0,0.0,0.0,0.062
india,W,Those who font join today will be marked one LoP in this month,False,0.0349,other,0.0,0.0,62.0,0.0,0.0,0.0,0.06
india,W,Yes it went up by 7.31% today????????,False,0.0156,other,3.0,0.0,37.0,0.0,0.0,0.0,0.227
india,W,"Hello Riya, what's about Astral Ltd.? Can we add it or avoid?",False,0.0393,other,0.0,0.0,61.0,0.0,0.0,0.0,0.111
india,W,"As a public figure, I can promise here",False,0.0111,other,0.0,0.0,38.0,0.0,0.0,0.0,0.067
india,W,The Federal Reserve has access to even more data and they certainly know the true situation of inflation,False,0.1525,recharge/plan,0.0,0.0,104.0,0.0,0.0,0.0,0.034
india,W,It's okay to not recommend stocks when the market is bad.,False,0.0095,other,0.0,0.0,57.0,0.0,0.0,0.0,0.022
india,W,???????????????????????? ????????????????????????,False,0.057,other,0.0,0.0,49.0,0.0,0.0,0.0,0.96
india,W,"Yes, but the assistant said yesterday that he would share the technology tomorrow night.",False,0.009,other,0.0,0.0,88.0,0.0,0.0,0.0,0.014
india,W,My PC got shutdown,False,0.0091,other,0.0,0.0,18.0,0.0,0.0,0.0,0.2
india,W,""" Technical analysts classify trends into several broad categories for easy identification. These are primary trends (measured in months or years), secondary or medium-term trends (measured in weeks or months), short-ter",False,0.1239,other,0.0,0.0,299.0,0.0,0.0,0.0,0.008
india,W,Happy pongal ????,False,0.0111,other,0.0,0.0,17.0,0.0,0.0,0.0,0.091
india,W,"I won't share too much tonight, please enjoy this great festival????????",False,0.0395,other,0.0,0.0,72.0,0.0,0.0,0.0,0.089
india,W,"It's an unplanned power cut due to heavy rain, thundering, lighting and wind",False,0.0546,bank/transactional,0.0,0.0,76.0,0.0,0.0,0.0,0.016
india,W,"Hello! Riya Assistant, please send me a copy of your evening presentation document later. Thank you",False,0.0431,other,0.0,0.0,99.0,0.0,0.0,0.0,0.049
india,W,I've already sent you a private message Thank you,False,0.032,other,0.0,0.0,49.0,0.0,0.0,0.0,0.05
india,W,Will join in 5 mins,False,0.0552,other,1.0,0.0,19.0,0.0,0.0,0.0,0.071
india,W,I am outside for some personal work. I will join at 10 PM,False,0.0313,other,2.0,0.0,57.0,0.0,0.0,0.0,0.095
india,W,I am changing my password,False,0.0048,other,0.0,0.0,25.0,0.0,0.0,0.0,0.048
india,W,Good noon,False,0.0139,other,0.0,0.0,9.0,0.0,0.0,0.0,0.125
india,W,Hi kk,False,0.0175,other,0.0,0.0,5.0,0.0,0.0,0.0,0.25
india,W,Okay.,False,0.017,other,0.0,0.0,5.0,0.0,0.0,0.0,0.25
india,W,"I didnt sent to you, for those who got mail they can reply",False,0.0706,other,0.0,0.0,58.0,0.0,0.0,0.0,0.022
india,W,Restart your laptop,False,0.1051,other,0.0,0.0,19.0,0.0,0.0,0.0,0.059
india,W,He answered on call,False,0.022,other,0.0,0.0,19.0,0.0,0.0,0.0,0.062
